month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
11,12,2015,AM,23.0,17.6,0.0,0.03280839916666667,15.53427975,3.9269908169872414
11,12,2015,PM,26.6,24.8,0.0,0.0984251975,31.0685595,3.5342917352885173
11,12,2015,night,30.2,28.4,0.0,0.6561679833333334,34.175415449999996,3.9269908169872414
11,13,2015,AM,32.0,32.0,0.0,0.45931758833333336,37.2822714,3.5342917352885173
11,13,2015,PM,32.0,30.2,0.0,0.5577427858333334,34.175415449999996,3.5342917352885173
11,13,2015,night,28.4,24.8,0.0,0.590551185,21.74799165,3.5342917352885173
11,14,2015,AM,30.2,28.4,0.0,0.22965879416666668,18.6411357,3.9269908169872414
11,14,2015,PM,30.2,28.4,0.0,0.3280839916666667,15.53427975,4.319689898685965
11,14,2015,night,28.4,24.8,0.0,0.590551185,15.53427975,5.105088062083414
11,15,2015,AM,21.2,17.6,0.0,0.42650918916666675,12.4274238,3.141592653589793
11,15,2015,PM,14.0,10.399999999999999,0.0,0.03280839916666667,18.6411357,2.748893571891069
11,15,2015,night,10.399999999999999,8.599999999999998,0.0,0.0,15.53427975,2.748893571891069
11,16,2015,AM,15.8,14.0,0.0,0.0,9.32056785,3.5342917352885173
11,16,2015,PM,19.4,17.6,0.0,0.196850395,18.6411357,3.9269908169872414
11,16,2015,night,28.4,23.0,0.0,0.7545931808333334,37.2822714,3.5342917352885173
11,17,2015,AM,30.2,28.4,0.0,0.7545931808333334,49.7096952,3.5342917352885173
11,17,2015,PM,23.0,14.0,0.0,1.2139107691666668,65.24397495,3.141592653589793
11,17,2015,night,12.2,8.599999999999998,0.0,0.45931758833333336,34.175415449999996,3.141592653589793
11,18,2015,AM,12.2,10.399999999999999,0.0,0.03280839916666667,18.6411357,3.141592653589793
11,18,2015,PM,14.0,14.0,0.0,0.03280839916666667,15.53427975,3.141592653589793
11,18,2015,night,14.0,14.0,0.0,0.06561679833333334,9.32056785,3.141592653589793
11,19,2015,AM,17.6,15.8,0.0,0.0,0.0,1.9634954084936207
11,19,2015,PM,14.0,10.399999999999999,0.0,0.0,6.2137119,2.748893571891069
11,19,2015,night,12.2,10.399999999999999,0.0,0.0,12.4274238,1.9634954084936207
11,20,2015,AM,21.2,15.8,0.0,0.0,9.32056785,1.5707963267948966
11,20,2015,PM,21.2,19.4,0.0,0.0,0.0,2.356194490192345
11,20,2015,night,23.0,21.2,0.0,0.0,6.2137119,3.5342917352885173
11,21,2015,AM,30.2,24.8,0.0,0.0,3.10685595,2.748893571891069
11,21,2015,PM,30.2,30.2,0.0,0.0,0.0,4.71238898038469
11,21,2015,night,32.0,30.2,0.0,0.0,3.10685595,4.319689898685965
11,22,2015,AM,32.0,32.0,0.0,0.0,3.10685595,3.9269908169872414
11,22,2015,PM,32.0,30.2,0.0,0.0,6.2137119,3.5342917352885173
11,22,2015,night,30.2,24.8,0.0,0.0,9.32056785,3.9269908169872414
11,23,2015,AM,24.8,24.8,0.0,0.06561679833333334,9.32056785,3.5342917352885173
11,23,2015,PM,23.0,21.2,0.0,0.16404199583333334,15.53427975,3.9269908169872414
11,23,2015,night,19.4,15.8,0.0,0.39370079,0.0,3.9269908169872414
11,24,2015,AM,15.8,15.8,0.0,0.06561679833333334,9.32056785,1.1780972450961724
11,24,2015,PM,14.0,10.399999999999999,0.0,0.0,12.4274238,1.1780972450961724
11,24,2015,night,12.2,10.399999999999999,0.0,0.0,18.6411357,0.7853981633974483
11,25,2015,AM,19.4,15.8,0.0,0.0,18.6411357,0.7853981633974483
11,25,2015,PM,17.6,17.6,0.0,0.0,15.53427975,1.1780972450961724
11,25,2015,night,19.4,17.6,0.0,0.0,6.2137119,1.1780972450961724
11,26,2015,AM,24.8,19.4,0.0,0.0,3.10685595,0.39269908169872414
11,26,2015,PM,23.0,23.0,0.0,0.0,3.10685595,0.39269908169872414
11,26,2015,night,26.6,24.8,0.0,0.0,6.2137119,0.0
11,27,2015,AM,30.2,26.6,0.0,0.0,6.2137119,0.39269908169872414
11,27,2015,PM,30.2,30.2,0.0,0.0,6.2137119,0.39269908169872414
11,27,2015,night,32.0,30.2,0.0,0.0,3.10685595,5.497787143782138
11,28,2015,AM,32.0,32.0,0.0,0.0,6.2137119,5.497787143782138
11,28,2015,PM,33.8,32.0,0.0,0.0,3.10685595,5.890486225480862
11,28,2015,night,32.0,32.0,0.0,0.0,6.2137119,5.497787143782138
11,29,2015,AM,33.8,32.0,0.0,0.0,6.2137119,5.497787143782138
11,29,2015,PM,33.8,32.0,0.0,0.0,6.2137119,5.105088062083414
11,29,2015,night,32.0,30.2,0.0,0.0,6.2137119,5.105088062083414
11,30,2015,AM,26.6,26.6,0.0,0.0,6.2137119,5.105088062083414
